EOB CODE,DESCRIPTION,Rejection Code,Group Code,Reason Code,Remark Code
001,Denied.  Care beyond first 20 visits or 60 days requires authorization.,NULL,CO,"A1, 45 N54,",M62
002,Denied. Report of Accident (ROA) payable once per claim. Previous payment has been made.,NULL,CO,"B13, A1, 23",N117
003,Initial office visit payable 1 time only for same injured worker/provider/diagnosis.,NULL,CO,B13,M13
004,Denied. Physical therapy by the attending doctor is limited to 6 treatments.,NULL,CO,"35, A1, 45",N362
005,Denied. Physical therapy beyond the first 12 treatments requires authorization.,NULL,CO,"A1, 45 M62,",N54
006,Rental has extended over 30 days. Only short term rental is allowed.,NULL,CO,"108, 119, 45",NULL
007,Denied. Facet joint injections are limited to 4 per injured worker.,NULL,CO,"35, A1, 45",N362
008,Denied. Chemonucleolysis is allowed once in a lifetime only.,NULL,CO,"35, A1, 45",N117
009,Maximum 2 service units allowed.,NULL,CO,"45, P12",NULL
010,Maximum 40 hours payable per vocational referral.,NULL,NULL,NULL,NULL
011,Maximum 50 hours payable per vocational referral.,NULL,NULL,NULL,NULL
012,Maximum 2 hours allowed per vocational referral.,NULL,NULL,NULL,NULL
013,Quality or level of service does not meet L&I standards.,NULL,CO,A1,N35
014,Maximum 1 service unit allowed for same day/diagnosis.,NULL,CO,"P12, 45",NULL
015,Maximum of 2 hours travel wait time allowed.,NULL,NULL,NULL,NULL
016,Thank you. Your effort to complete this bill correctly has been appreciated.,NULL,NULL,NULL,NULL
017,Denied.  Meal receipts must include business name or be accompanied by cash registered receipt.,NULL,NULL,NULL,NULL
018,Additional views/units are not payable on MRI's.,NULL,CO,45,NULL
019,Amount paid is according to hours lost from work per the daily compensation rate.,NULL,NULL,NULL,NULL
020,This service is payable only once and must be billed as 1 line item and 1 unit of service. EOB  Description Rejection  Group  Reason  Remark Code Code Code Code Code,NULL,CO,16,M53
021,Denied. Free parking available at this facility.,NULL,NULL,NULL,NULL
022,Consultations not payable to attending physician.,NULL,CO,A1,N637
023,"Denied. Submit bill to party who requested testimony (e.g. attorney general office, BIIA, etc.)",NULL,PI,109,NULL
024,Maximum of 1 hour allowable only.,NULL,CO,"P12, 45",NULL
025,Accumulated services have exceeded L&I limit.,NULL,CO,NULL,NULL
